N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
121,DB하이텍,"67,200","
0
","
0.00%
","5,000","29,836","44,399",19.32,"14,375",18.84,23.07,
122,LG화학우,"387,500","
0
","
0.00%
","5,000","29,794","7,689",67.42,141,16.87,N/A,
123,KCC,"328,500","
0
","
0.00%
","5,000","29,192","8,886",11.37,0,3.39,12.79,
124,현대로템,"26,600","
0
","
0.00%
","5,000","29,032","109,142",6.33,"4,582",61.57,2.84,
125,제일기획,"24,450","
0
","
0.00%
",200,"28,128","115,041",33.89,0,16.96,16.11,
126,DL이앤씨,"145,000","
0
","
0.00%
","5,000","28,070","19,359",27.56,0,N/A,N/A,
127,한샘,"117,500","

				1,500
				
","

				-1.26%
				
","1,000","27,652","23,534",19.66,"1,252",37.70,10.83,
128,OCI,"114,000","
0
","
0.00%
","5,000","27,188","23,849",14.51,0,-17.87,-9.89,
129,신세계,"270,000","
0
","
0.00%
","5,000","26,582","9,845",27.78,0,-83.15,-2.81,
130,한화에어로스페이스,"52,300","
0
","
0.00%
","5,000","26,479","50,630",19.55,0,11.85,4.78,
131,효성첨단소재,"581,000","
0
","
0.00%
","5,000","26,028","4,480",11.23,32,71.71,0.03,
132,현대차우,"106,000","
0
","
0.00%
","5,000","25,818","24,357",58.95,8,12.83,N/A,
133,현대위아,"94,300","
0
","
0.00%
","5,000","25,645","27,195",7.80,0,166.61,1.96,
134,BNK금융지주,"7,780","
0
","
0.00%
","5,000","25,358","325,935",38.13,0,4.42,6.11,
135,더존비즈온,"82,900","
0
","
0.00%
",500,"25,152","30,341",38.88,0,46.16,15.09,
136,효성,"118,500","
0
","
0.00%
","5,000","24,969","21,071",9.61,0,88.57,-2.26,
137,하이트진로,"34,550","
0
","
0.00%
","5,000","24,231","70,134",5.77,282,29.89,8.23,
138,KODEX 단기채권,"102,850","
0
","
0.00%
",0,"23,532","22,880",0.00,0,N/A,N/A,
139,대한전선,"2,740","
0
","
0.00%
",500,"23,467","856,473",2.75,"16,601",195.71,0.92,
140,현대해상,"25,950","
0
","
0.00%
",500,"23,199","89,400",27.99,1,6.27,7.13,
141,KODEX 200선물인버스2X,"1,885","
0
","
0.00%
",0,"23,157","1,228,500",3.98,0,N/A,N/A,
142,한화,"30,850","

				300
				
","

				+0.98%
				
","5,000","23,125","74,959",17.41,"9,197",7.90,4.79,
143,TIGER 200,"43,410","
0
","
0.00%
",0,"22,834","52,600",0.00,0,N/A,N/A,
144,현대엘리베이,"55,900","
0
","
0.00%
","5,000","22,816","40,815",28.07,"2,167",20.39,9.78,
145,LS,"70,400","

				900
				
","

				-1.26%
				
","5,000","22,669","32,200",15.19,"1,636",12.40,3.94,
146,대웅,"38,900","
0
","
0.00%
",500,"22,617","58,142",3.74,60,26.28,15.10,
147,대웅제약,"185,000","
0
","
0.00%
","2,500","21,435","11,587",6.64,300,-194.33,2.38,
148,코오롱인더,"78,400","
0
","
0.00%
","5,000","21,151","26,979",19.09,132,25.98,9.70,
149,HDC현대산업개발,"30,800","
0
","
0.00%
","5,000","20,299","65,907",11.25,0,9.81,8.85,
150,LS ELECTRIC,"66,900","
0
","
0.00%
","5,000","20,070","30,000",15.31,"1,117",25.51,6.15,
151,오뚜기,"534,000","
0
","
0.00%
","5,000","19,608","3,672",12.67,0,20.25,7.93,
152,농심,"322,000","
0
","
0.00%
","5,000","19,586","6,083",13.61,31,15.21,7.50,
153,진원생명과학,"43,200","
0
","
0.00%
","1,000","19,531","45,212",13.71,"3,790",-98.86,-30.43,
154,한전기술,"50,700","
0
","
0.00%
",200,"19,378","38,220",1.93,198,115.75,N/A,
155,동국제강,"20,150","
0
","
0.00%
","5,000","19,230","95,433",21.95,184,9.13,3.35,
156,프레스티지바이오파마,"31,850","
0
","
0.00%
",0,"19,141","60,096",63.85,169,-94.79,N/A,
157,한전KPS,"42,450","
0
","
0.00%
",200,"19,102","45,000",8.73,0,17.70,8.23,
158,솔루스첨단소재,"62,200","
0
","
0.00%
",100,"19,027","30,590",7.71,385,-171.82,-5.10,
159,현대백화점,"80,900","
0
","
0.00%
","5,000","18,933","23,402",18.70,0,19.42,1.65,
160,금호타이어,"6,570","

				150
				
","

				-2.23%
				
","5,000","18,873","287,260",4.16,"12,018",-123.96,-6.74,
161,KODEX 삼성그룹,"10,780","
0
","
0.00%
",0,"18,498","171,600",0.02,0,N/A,N/A,
162,롯데정밀화학,"71,100","
0
","
0.00%
","5,000","18,344","25,800",19.59,0,9.35,12.65,
163,한미반도체,"36,850","
0
","
0.00%
",200,"18,226","49,460",8.40,335,30.11,21.03,
164,명신산업,"34,300","
0
","
0.00%
",500,"17,997","52,470",1.59,698,-14.87,-67.39,
165,영원무역,"39,750","
0
","
0.00%
",500,"17,614","44,311",27.63,21,11.40,8.03,
166,한국앤컴퍼니,"18,400","
0
","
0.00%
",500,"17,468","94,935",9.58,5,8.48,5.08,
167,지누스,"107,000","
0
","
0.00%
",500,"16,906","15,800",22.46,0,35.31,11.61,
168,KG동부제철,"16,550","

				50
				
","

				-0.30%
				
","5,000","16,551","100,009",1.06,"1,743",18.35,7.18,
169,아이에스동서,"53,100","
0
","
0.00%
",500,"16,404","30,893",4.49,10,12.83,10.92,
170,대한유화,"247,500","
0
","
0.00%
","5,000","16,088","6,500",13.98,0,7.05,6.93,
171,DL,"76,600","
0
","
0.00%
","5,000","16,052","20,956",15.13,27,4.11,11.84,
172,두산,"96,600","

				600
				
","

				-0.62%
				
","5,000","15,962","16,524",11.71,240,-11.63,-34.34,
173,녹십자홀딩스,"33,450","

				150
				
","

				+0.45%
				
",500,"15,731","47,028",4.99,"6,830",8.88,19.74,
174,DGB금융지주,"9,220","

				30
				
","

				+0.33%
				
","5,000","15,595","169,146",49.15,"8,873",4.24,6.93,
175,종근당,"135,500","
0
","
0.00%
","2,500","15,482","11,426",7.83,144,17.44,17.88,
176,에스엘,"32,000","

				50
				
","

				+0.16%
				
",500,"15,425","48,203",17.13,70,13.97,4.74,
177,솔루엠,"30,750","
0
","
0.00%
",500,"15,315","49,806",7.97,"1,655",30.09,43.26,
178,JB금융지주,"7,650","
0
","
0.00%
","5,000","15,069","196,983",40.78,0,3.77,10.06,
179,NHN,"76,900","
0
","
0.00%
",500,"15,046","19,565",12.94,12,56.13,1.35,
180,부광약품,"21,150","

				150
				
","

				-0.70%
				
",500,"15,030","71,063",3.64,"20,404",-159.02,-2.46,
181,SK네트웍스,"5,910","

				40
				
","

				-0.67%
				
","2,500","14,668","248,188",13.17,"8,129",14.17,1.63,
182,TIGER 차이나전기차SOLACTIVE,"18,215","

				105
				
","

				+0.58%
				
",0,"14,638","80,360",1.04,"15,104",N/A,N/A,
183,LG생활건강우,"683,000","
0
","
0.00%
","5,000","14,341","2,100",84.77,0,14.72,N/A,
184,롯데리츠,"5,890","
0
","
0.00%
",500,"14,311","242,969",10.24,0,34.24,1.83,
185,코스맥스,"125,500","
0
","
0.00%
",500,"14,244","11,350",23.95,0,39.48,6.23,
186,KODEX 레버리지,"28,570","
0
","
0.00%
",0,"14,114","49,400",4.40,0,N/A,N/A,
187,KODEX 단기채권PLUS,"103,155","
0
","
0.00%
",0,"14,093","13,662",0.00,0,N/A,N/A,
188,KODEX 종합채권(AA-이상)액티브,"109,765","
0
","
0.00%
",0,"13,954","12,713",0.00,0,N/A,N/A,
189,신세계인터내셔날,"193,000","
0
","
0.00%
","5,000","13,780","7,140",5.19,0,19.78,8.24,
190,아시아나항공,"18,500","
0
","
0.00%
","5,000","13,766","74,412",19.79,380,-20.51,-43.83,
191,롯데관광개발,"19,750","

				50
				
","

				-0.25%
				
",500,"13,682","69,276",6.22,"6,858",-11.05,-30.43,
192,넥스트사이언스,"32,250","

				500
				
","

				+1.57%
				
",500,"13,408","41,576",5.86,"75,263",-35.44,-41.41,
193,롯데칠성,"142,000","
0
","
0.00%
",500,"13,176","9,279",8.53,0,191.37,-1.00,
194,두산인프라코어,"16,700","
0
","
0.00%
","5,000","13,078","78,309",10.48,0,15.89,6.47,
195,LG전자우,"75,500","

				500
				
","

				+0.67%
				
","5,000","12,975","17,186",41.20,"1,078",7.03,N/A,
196,TIGER TOP10,"14,970","
0
","
0.00%
",0,"12,837","85,750",0.19,0,N/A,N/A,
197,KODEX 200TR,"14,180","

				40
				
","

				-0.28%
				
",0,"12,805","90,300",0.02,211,N/A,N/A,
198,한일시멘트,"184,500","

				1,500
				
","

				+0.82%
				
","5,000","12,779","6,926",2.45,309,11.20,N/A,
199,코스모신소재,"42,250","
0
","
0.00%
","1,000","12,712","30,087",8.36,593,76.26,7.16,
200,이노션,"63,000","
0
","
0.00%
",500,"12,600","20,000",29.95,0,21.45,8.28,
